accession_id,amo_number,description,quantity,category,current_market_value,asset_location,room_number,box_number,mode_of_acquisition,acquisition_date,acquisition_price,remarks,dimensions,status,date_created,date_modified
2024-ART-0001-Goldenberg,AMO-46048,ART item #1 with historical significance,32,ART,17417.853825280818,Goldenberg,Go2-A,23.0,Transfer,01/01/2024,,Remark for item 1,153 cm x 60 cm,ACTIVE,11/28/2024 12:00:00 AM,12/20/2024 12:00:00 AM
2024-SCULPTURE-0002-Gallery,AMO-38893,SCULPTURE item #2 with historical significance,58,SCULPTURE,1543.3924707203837,Gallery-East,Ga5-B,88.0,Donation,04/25/2024,4238.4426905034625,,,UNDER_REVIEW,06/25/2024 12:00:00 AM,07/14/2024 12:00:00 AM
2024-FURNITURE-0003-Goldenberg,AMO-70217,FURNITURE item #3 with historical significance,69,FURNITURE,43075.746410200634,Goldenberg,Go1-B,93.0,Donation,12/03/2024,,Remark for item 3,30 cm x 69 cm,ACTIVE,02/21/2024 12:00:00 AM,03/04/2024 12:00:00 AM
2024-FURNITURE-0004-Gallery,AMO-93320,FURNITURE item #4 with historical significance,47,FURNITURE,-853.8343680833996,Gallery-East,Ga2-B,175.0,Purchase,10/21/2024,-170.6847847459028,Remark for item 4,107 cm x 79 cm,ACTIVE,11/23/2024 12:00:00 AM,12/15/2024 12:00:00 AM
2024-SCULPTURE-0005-Warehouse,AMO-99733,SCULPTURE item #5 with historical significance,42,SCULPTURE,44480.320387684784,Warehouse-A,Wa1-A,,Donation,10/23/2024,4837.173645764544,Remark for item 5,174 cm x 127 cm,ACTIVE,03/14/2024 12:00:00 AM,03/22/2024 12:00:00 AM
2024-MEMORABILIA-0006-Warehouse,AMO-83579,MEMORABILIA item #6 with historical significance,69,MEMORABILIA,-6736.859648373802,Warehouse-A,Wa3-C,57.0,Transfer,03/17/2024,3712.8002179298232,Remark for item 6,49 cm x 170 cm,ACTIVE,03/22/2024 12:00:00 AM,04/16/2024 12:00:00 AM
2024-DOCUMENTS-0007-Goldenberg,AMO-60432,DOCUMENTS item #7 with historical significance,49,DOCUMENTS,-6585.442320311557,Goldenberg,Go5-B,3.0,Transfer,02/22/2024,-1328.6487678512844,Remark for item 7,97 cm x 38 cm,ACTIVE,05/30/2024 12:00:00 AM,06/12/2024 12:00:00 AM
2024-MEMORABILIA-0008-Gallery,AMO-10425,MEMORABILIA item #8 with historical significance,93,MEMORABILIA,11049.056789150853,Gallery-East,Ga3-C,77.0,Donation,09/20/2024,-8566.401223288989,Remark for item 8,145 cm x 10 cm,ACTIVE,11/02/2024 12:00:00 AM,11/12/2024 12:00:00 AM
2024-DOCUMENTS-0009-Goldenberg,AMO-24662,DOCUMENTS item #9 with historical significance,47,DOCUMENTS,-38122.94581282582,Goldenberg,Go3-A,22.0,Donation,02/25/2024,-1811.4376462048635,,150 cm x 52 cm,ACTIVE,05/15/2024 12:00:00 AM,05/31/2024 12:00:00 AM
2024-SCULPTURE-0010-Gallery,AMO-37760,SCULPTURE item #10 with historical significance,70,SCULPTURE,-20320.778008360594,Gallery-East,Ga2-C,113.0,Purchase,08/04/2024,2571.236662976369,,,ACTIVE,10/10/2024 12:00:00 AM,10/17/2024 12:00:00 AM
2024-SCULPTURE-0011-Warehouse,AMO-10942,SCULPTURE item #11 with historical significance,10,SCULPTURE,-17700.601888030273,Warehouse-A,Wa1-A,,Donation,11/16/2024,-6061.518506676457,,156 cm x 157 cm,ACTIVE,08/30/2024 12:00:00 AM,09/06/2024 12:00:00 AM
2024-DOCUMENTS-0012-Gallery,AMO-34957,DOCUMENTS item #12 with historical significance,13,DOCUMENTS,41641.219223038854,Gallery-East,Ga1-C,187.0,Purchase,,-128.8815024326782,Remark for item 12,,ACTIVE,06/22/2024 12:00:00 AM,07/17/2024 12:00:00 AM
2024-ART-0013-Warehouse,AMO-35112,ART item #13 with historical significance,25,ART,6688.205117198096,Warehouse-A,Wa5-B,20.0,Donation,09/04/2024,,Remark for item 13,33 cm x 70 cm,ACTIVE,03/26/2024 12:00:00 AM,04/08/2024 12:00:00 AM
2024-DOCUMENTS-0014-Gallery,AMO-38016,DOCUMENTS item #14 with historical significance,52,DOCUMENTS,-30618.70465533642,Gallery-East,Ga1-A,117.0,Purchase,12/24/2024,-1721.9136226259134,Remark for item 14,49 cm x 58 cm,ACTIVE,05/31/2024 12:00:00 AM,06/06/2024 12:00:00 AM
2024-ART-0015-Goldenberg,AMO-51104,ART item #15 with historical significance,8,ART,7773.064742746652,Goldenberg,Go1-C,15.0,Purchase,02/28/2024,-4754.967887111514,Remark for item 15,70 cm x 113 cm,ACTIVE,03/02/2024 12:00:00 AM,04/01/2024 12:00:00 AM
2024-SCULPTURE-0016-Warehouse,AMO-85880,SCULPTURE item #16 with historical significance,77,SCULPTURE,14392.450458641799,Warehouse-A,Wa1-C,81.0,Donation,04/22/2024,-2003.193449594025,Remark for item 16,181 cm x 175 cm,ACTIVE,06/02/2024 12:00:00 AM,06/16/2024 12:00:00 AM
2024-FURNITURE-0017-Goldenberg,AMO-11220,FURNITURE item #17 with historical significance,59,FURNITURE,-2292.343744831919,Goldenberg,Go5-C,34.0,Donation,02/08/2024,-2008.5330611469844,Remark for item 17,190 cm x 87 cm,ACTIVE,11/09/2024 12:00:00 AM,12/04/2024 12:00:00 AM
2024-SCULPTURE-0018-Goldenberg,AMO-97538,SCULPTURE item #18 with historical significance,71,SCULPTURE,51306.95461272344,Goldenberg,Go3-C,191.0,Donation,05/10/2024,932.5138763103304,Remark for item 18,172 cm x 77 cm,ACTIVE,09/15/2024 12:00:00 AM,09/30/2024 12:00:00 AM
2024-FURNITURE-0019-Goldenberg,AMO-22097,FURNITURE item #19 with historical significance,82,FURNITURE,-21442.773223897508,Goldenberg,Go4-B,,Donation,03/24/2024,5112.724560515945,Remark for item 19,38 cm x 29 cm,ACTIVE,12/19/2024 12:00:00 AM,01/16/2025 12:00:00 AM
2024-MEMORABILIA-0020-Goldenberg,AMO-58393,MEMORABILIA item #20 with historical significance,75,MEMORABILIA,,Goldenberg,Go5-A,11.0,Purchase,04/22/2024,-5104.218249855111,,114 cm x 168 cm,ACTIVE,03/20/2024 12:00:00 AM,04/18/2024 12:00:00 AM
2024-MEMORABILIA-0021-Warehouse,AMO-33206,MEMORABILIA item #21 with historical significance,53,MEMORABILIA,10221.589875118885,Warehouse-A,Wa1-A,172.0,Transfer,04/09/2024,-8798.350619398878,Remark for item 21,19 cm x 130 cm,ACTIVE,04/23/2024 12:00:00 AM,04/29/2024 12:00:00 AM
2024-DOCUMENTS-0022-Storage,AMO-50001,DOCUMENTS item #22 with historical significance,30,DOCUMENTS,-28204.651222460765,Storage-Facility-7,St2-A,18.0,Transfer,05/12/2024,1984.3061793456177,Remark for item 22,147 cm x 94 cm,ACTIVE,01/15/2024 12:00:00 AM,01/18/2024 12:00:00 AM
2024-FURNITURE-0023-Warehouse,AMO-86099,FURNITURE item #23 with historical significance,34,FURNITURE,23461.66449988526,Warehouse-A,Wa1-A,112.0,Transfer,09/04/2024,1856.8414059498525,Remark for item 23,191 cm x 121 cm,ACTIVE,01/01/2024 12:00:00 AM,01/17/2024 12:00:00 AM
2024-SCULPTURE-0024-Warehouse,AMO-57739,SCULPTURE item #24 with historical significance,56,SCULPTURE,2108.7929402939867,Warehouse-A,Wa1-C,185.0,Purchase,09/10/2024,-505.5184779464439,Remark for item 24,151 cm x 42 cm,ACTIVE,04/08/2024 12:00:00 AM,04/21/2024 12:00:00 AM
2024-DOCUMENTS-0025-Warehouse,AMO-90676,DOCUMENTS item #25 with historical significance,73,DOCUMENTS,-31963.049759185684,Warehouse-A,Wa3-B,149.0,Transfer,06/15/2024,-2599.2210419735434,Remark for item 25,198 cm x 53 cm,ACTIVE,12/03/2024 12:00:00 AM,12/05/2024 12:00:00 AM
2024-FURNITURE-0026-Storage,AMO-22240,FURNITURE item #26 with historical significance,97,FURNITURE,-6515.969273994688,Storage-Facility-7,St2-C,,Purchase,,6285.611131094579,Remark for item 26,126 cm x 116 cm,ACTIVE,11/18/2024 12:00:00 AM,12/06/2024 12:00:00 AM
2024-MEMORABILIA-0027-Gallery,AMO-74799,MEMORABILIA item #27 with historical significance,52,MEMORABILIA,,Gallery-East,Ga2-A,198.0,Transfer,07/08/2024,2718.0914478423074,Remark for item 27,22 cm x 152 cm,INACTIVE,05/07/2024 12:00:00 AM,06/05/2024 12:00:00 AM
2024-ART-0028-Gallery,AMO-27477,ART item #28 with historical significance,60,ART,-39076.00388406835,Gallery-East,Ga5-C,157.0,Transfer,09/14/2024,2620.419846973975,Remark for item 28,200 cm x 131 cm,ACTIVE,08/18/2024 12:00:00 AM,08/26/2024 12:00:00 AM
2024-MEMORABILIA-0029-Storage,AMO-78327,MEMORABILIA item #29 with historical significance,63,MEMORABILIA,-4627.057010407914,Storage-Facility-7,St2-B,86.0,Purchase,09/03/2024,-2384.6100015297934,Remark for item 29,190 cm x 64 cm,ACTIVE,02/02/2024 12:00:00 AM,02/15/2024 12:00:00 AM
2024-DOCUMENTS-0030-Storage,AMO-81121,DOCUMENTS item #30 with historical significance,60,DOCUMENTS,20291.9072210217,Storage-Facility-7,St4-A,179.0,Donation,,6154.997612479755,Remark for item 30,100 cm x 86 cm,ACTIVE,07/18/2024 12:00:00 AM,08/14/2024 12:00:00 AM
2024-DOCUMENTS-0031-Warehouse,AMO-73993,DOCUMENTS item #31 with historical significance,29,DOCUMENTS,28282.002977904966,Warehouse-A,Wa3-B,104.0,Purchase,08/05/2024,-3196.087616113193,Remark for item 31,161 cm x 154 cm,ACTIVE,12/05/2024 12:00:00 AM,12/05/2024 12:00:00 AM
2024-ART-0032-Gallery,AMO-27786,ART item #32 with historical significance,60,ART,-2730.309396280364,Gallery-East,Ga2-A,87.0,Purchase,07/09/2024,2656.3171570178197,Remark for item 32,30 cm x 130 cm,ACTIVE,01/10/2024 12:00:00 AM,02/02/2024 12:00:00 AM
2024-SCULPTURE-0033-Goldenberg,AMO-55870,SCULPTURE item #33 with historical significance,29,SCULPTURE,,Goldenberg,Go1-C,6.0,Donation,04/05/2024,5877.725635611796,,129 cm x 189 cm,UNDER_REVIEW,05/11/2024 12:00:00 AM,06/04/2024 12:00:00 AM
2024-FURNITURE-0034-Warehouse,AMO-89415,FURNITURE item #34 with historical significance,78,FURNITURE,-6979.355946132249,Warehouse-A,Wa1-A,148.0,Purchase,07/13/2024,71.70511668091444,Remark for item 34,170 cm x 72 cm,ACTIVE,02/22/2024 12:00:00 AM,03/15/2024 12:00:00 AM
2024-FURNITURE-0035-Goldenberg,AMO-84177,FURNITURE item #35 with historical significance,6,FURNITURE,-22658.374350150705,Goldenberg,Go3-C,88.0,Purchase,,-4981.033120403354,Remark for item 35,102 cm x 172 cm,ACTIVE,08/23/2024 12:00:00 AM,09/14/2024 12:00:00 AM
2024-MEMORABILIA-0036-Gallery,AMO-33086,MEMORABILIA item #36 with historical significance,94,MEMORABILIA,25313.14555985495,Gallery-East,Ga5-C,124.0,Purchase,12/19/2024,7781.200142854114,Remark for item 36,32 cm x 81 cm,ACTIVE,08/18/2024 12:00:00 AM,08/25/2024 12:00:00 AM
2024-DOCUMENTS-0037-Gallery,AMO-54092,DOCUMENTS item #37 with historical significance,4,DOCUMENTS,3199.746960491654,Gallery-East,Ga4-B,88.0,Donation,10/23/2024,6017.66448946012,Remark for item 37,58 cm x 31 cm,ACTIVE,05/03/2024 12:00:00 AM,05/26/2024 12:00:00 AM
2024-DOCUMENTS-0038-Gallery,AMO-82768,DOCUMENTS item #38 with historical significance,98,DOCUMENTS,14040.900626190854,Gallery-East,Ga2-C,5.0,Purchase,,-2225.5987730256215,Remark for item 38,158 cm x 104 cm,ACTIVE,08/30/2024 12:00:00 AM,09/16/2024 12:00:00 AM
2024-SCULPTURE-0039-Storage,AMO-65771,SCULPTURE item #39 with historical significance,96,SCULPTURE,14034.890137710348,Storage-Facility-7,St5-B,60.0,Purchase,04/11/2024,8690.182832329847,Remark for item 39,57 cm x 59 cm,INACTIVE,04/20/2024 12:00:00 AM,05/13/2024 12:00:00 AM
2024-DOCUMENTS-0040-Storage,AMO-87278,DOCUMENTS item #40 with historical significance,98,DOCUMENTS,4104.349022251212,Storage-Facility-7,St5-C,93.0,Purchase,01/23/2024,8823.218279070032,Remark for item 40,151 cm x 84 cm,ACTIVE,12/23/2024 12:00:00 AM,01/22/2025 12:00:00 AM
2024-MEMORABILIA-0041-Gallery,AMO-23446,MEMORABILIA item #41 with historical significance,2,MEMORABILIA,-60493.62760224361,Gallery-East,Ga5-B,14.0,Purchase,08/04/2024,5109.5125218761195,Remark for item 41,,ACTIVE,11/18/2024 12:00:00 AM,12/09/2024 12:00:00 AM
2024-ART-0042-Warehouse,AMO-29555,ART item #42 with historical significance,73,ART,7176.176705954281,Warehouse-A,Wa3-A,153.0,Donation,04/25/2024,-495.03675232933733,Remark for item 42,160 cm x 119 cm,ACTIVE,06/05/2024 12:00:00 AM,06/23/2024 12:00:00 AM
2024-SCULPTURE-0043-Goldenberg,AMO-89905,SCULPTURE item #43 with historical significance,95,SCULPTURE,7294.0194133875575,Goldenberg,Go1-A,,Transfer,09/03/2024,-8937.844573004464,Remark for item 43,130 cm x 84 cm,ACTIVE,01/17/2024 12:00:00 AM,01/24/2024 12:00:00 AM
2024-FURNITURE-0044-Storage,AMO-69510,FURNITURE item #44 with historical significance,10,FURNITURE,-491.7971959377983,Storage-Facility-7,St2-B,109.0,Transfer,04/21/2024,2785.562857558732,Remark for item 44,25 cm x 52 cm,ACTIVE,06/06/2024 12:00:00 AM,06/25/2024 12:00:00 AM
2024-SCULPTURE-0045-Storage,AMO-67560,SCULPTURE item #45 with historical significance,16,SCULPTURE,41947.3511185379,Storage-Facility-7,St4-C,139.0,Purchase,02/20/2024,,Remark for item 45,74 cm x 16 cm,INACTIVE,02/16/2024 12:00:00 AM,02/23/2024 12:00:00 AM
2024-SCULPTURE-0046-Goldenberg,AMO-98117,SCULPTURE item #46 with historical significance,35,SCULPTURE,-7956.755456841185,Goldenberg,Go5-A,72.0,Donation,10/14/2024,-3042.4680144659383,Remark for item 46,,ACTIVE,06/27/2024 12:00:00 AM,07/10/2024 12:00:00 AM
2024-FURNITURE-0047-Storage,AMO-97835,FURNITURE item #47 with historical significance,14,FURNITURE,-7543.926089613413,Storage-Facility-7,St2-B,103.0,Purchase,09/02/2024,5577.01058851037,Remark for item 47,113 cm x 141 cm,INACTIVE,01/01/2024 12:00:00 AM,01/22/2024 12:00:00 AM
2024-SCULPTURE-0048-Gallery,AMO-64165,SCULPTURE item #48 with historical significance,7,SCULPTURE,13218.777741492111,Gallery-East,Ga2-C,195.0,Purchase,,-1648.801018835194,,188 cm x 134 cm,ACTIVE,03/03/2024 12:00:00 AM,03/03/2024 12:00:00 AM
2024-SCULPTURE-0049-Warehouse,AMO-30758,SCULPTURE item #49 with historical significance,40,SCULPTURE,,Warehouse-A,Wa5-A,30.0,Transfer,02/21/2024,3566.3371655667806,Remark for item 49,140 cm x 190 cm,ACTIVE,05/19/2024 12:00:00 AM,06/01/2024 12:00:00 AM
2024-DOCUMENTS-0050-Gallery,AMO-41946,DOCUMENTS item #50 with historical significance,59,DOCUMENTS,7426.93873370101,Gallery-East,Ga5-A,35.0,Purchase,05/25/2024,5843.224952664446,Remark for item 50,139 cm x 78 cm,ACTIVE,01/02/2024 12:00:00 AM,01/11/2024 12:00:00 AM
2024-FURNITURE-0051-Gallery,AMO-29476,FURNITURE item #51 with historical significance,58,FURNITURE,-12551.32734693381,Gallery-East,Ga5-B,117.0,Purchase,04/23/2024,-638.310732988841,Remark for item 51,115 cm x 21 cm,ACTIVE,06/11/2024 12:00:00 AM,07/04/2024 12:00:00 AM
2024-DOCUMENTS-0052-Gallery,AMO-60604,DOCUMENTS item #52 with historical significance,85,DOCUMENTS,-4802.70382830394,Gallery-East,Ga2-B,26.0,Donation,08/04/2024,-6317.574740660593,Remark for item 52,114 cm x 177 cm,ACTIVE,03/20/2024 12:00:00 AM,03/22/2024 12:00:00 AM
2024-DOCUMENTS-0053-Storage,AMO-54375,DOCUMENTS item #53 with historical significance,80,DOCUMENTS,12403.006926614402,Storage-Facility-7,St4-C,98.0,Donation,11/23/2024,2305.2763608994464,Remark for item 53,168 cm x 27 cm,ACTIVE,04/30/2024 12:00:00 AM,05/20/2024 12:00:00 AM
2024-FURNITURE-0054-Warehouse,AMO-21846,FURNITURE item #54 with historical significance,56,FURNITURE,5127.836416061522,Warehouse-A,Wa1-C,8.0,Transfer,,-172.93566687573457,Remark for item 54,47 cm x 72 cm,ACTIVE,09/28/2024 12:00:00 AM,10/11/2024 12:00:00 AM
2024-SCULPTURE-0055-Warehouse,AMO-32280,SCULPTURE item #55 with historical significance,23,SCULPTURE,-30384.268551260357,Warehouse-A,Wa1-C,150.0,Purchase,08/21/2024,-1103.226613826795,Remark for item 55,,ACTIVE,08/26/2024 12:00:00 AM,09/23/2024 12:00:00 AM
2024-FURNITURE-0056-Warehouse,AMO-19681,FURNITURE item #56 with historical significance,57,FURNITURE,-3567.862913169238,Warehouse-A,Wa3-C,117.0,Purchase,04/13/2024,-3011.3863461080946,,101 cm x 157 cm,ACTIVE,05/31/2024 12:00:00 AM,06/22/2024 12:00:00 AM
2024-FURNITURE-0057-Goldenberg,AMO-96275,FURNITURE item #57 with historical significance,51,FURNITURE,967.8572083497716,Goldenberg,Go3-A,156.0,Transfer,05/25/2024,3020.254284072692,Remark for item 57,172 cm x 58 cm,INACTIVE,11/13/2024 12:00:00 AM,11/21/2024 12:00:00 AM
2024-MEMORABILIA-0058-Goldenberg,AMO-92242,MEMORABILIA item #58 with historical significance,83,MEMORABILIA,52154.64753026325,Goldenberg,Go1-B,24.0,Purchase,06/24/2024,1872.8890641591947,Remark for item 58,103 cm x 145 cm,ACTIVE,09/13/2024 12:00:00 AM,10/12/2024 12:00:00 AM
2024-FURNITURE-0059-Warehouse,AMO-43681,FURNITURE item #59 with historical significance,62,FURNITURE,11438.759768069109,Warehouse-A,Wa3-C,,Purchase,04/28/2024,627.7704211691639,Remark for item 59,152 cm x 103 cm,ACTIVE,02/16/2024 12:00:00 AM,03/12/2024 12:00:00 AM
2024-DOCUMENTS-0060-Goldenberg,AMO-44663,DOCUMENTS item #60 with historical significance,69,DOCUMENTS,-42969.280382476034,Goldenberg,Go1-B,98.0,Purchase,06/04/2024,867.4306227539156,Remark for item 60,153 cm x 93 cm,INACTIVE,11/08/2024 12:00:00 AM,11/15/2024 12:00:00 AM
